,Inventory Number,Title,Medium,Date Created,Date Digitised
0,132158,Calvary,Woodcuts,1500,2015
1,25793,Leda with the Swan and Hercul…,Engravings,1550,2015
2,25889,The Fight with the Nemean Lion,Engravings,1550,2015
3,25891,Hercules Killing Cacus,Engravings,1550,2015
4,25899,Hercules Fighting the Hydra o…,Engravings,1550,2015
5,25905,Hercules and Cerberus,Engravings,1550,2015
6,25907,Hercules Squeezing Antaeus to…,Engravings,1550,2015
7,25912,Hercules Fighting the River-G…,Engravings,1550,2015
8,25919,Hercules Killing the Dragon L…,Engravings,1550,2015
9,25925,Hercules and Atlas,Engravings,1550,2015
10,25927,Hercules Preventing the Centa…,Engravings,1550,2015
11,25928,Hercules Killing Nessus,Engravings,1550,2015
12,25930,The Pillars of Hercules,Engravings,1550,2015
13,25935,Hercules and the Hind,Engravings,1550,2015
14,133914,St. Wolfgang,Woodcuts,1490,2015
15,25969,Master of Ceremonies with a D…,Engravings,1538,2015
16,25970,Two Torch-Bearers,Engravings,1538,2015
17,25971,Dancing Couple,Engravings,1538,2015
18,25972,Dancing Couple,Engravings,1538,2015
19,25973,Dancing Couple,Engravings,1538,2015
20,25974,Couple Embracing,Engravings,1538,2015
21,25975,Dancing Couple,Engravings,1538,2015
22,25976,Dancing Couple,Engravings,1538,2015
23,25977,Dancing Couple,Engravings,1538,2015
24,25978,Dancing Couple,Engravings,1538,2015
25,25979,Dancing Couple,Engravings,1538,2015
26,25989,Three Trombonists,Engravings,1538,2015
27,132159,The Man of Sorrows with the V…,Woodcuts,1495,2015
28,25990,Two Musicians Playing the Vio…,Engravings,1538,2015
29,25991,"Dancing Couple, Back to Back",Engravings,1538,2015
30,25992,Dancing Couple,Engravings,1538,2015
31,25993,Dancing Couple,Engravings,1538,2015
32,25994,Dancing Couple,Engravings,1538,2015
33,25995,Dancing Couple,Engravings,1538,2015
34,25996,Couple Embracing,Engravings,1538,2015
35,132146,The Visitation,Woodcuts,1484,2015
36,25997,Three Musicians Playing Crumh…,Engravings,1551,2015
37,25998,Dancing Couple,Engravings,1551,2015
38,25999,Dancing Couple,Engravings,1551,2015
39,26000,Dancing Couple,Engravings,1551,2015
40,26001,Dancing Couple,Engravings,1551,2015
41,132260,The Virgin and Child with St.…,Woodcuts,1500,2015
42,25551,Susanna Accused of Adultery,Engravings,1555,2015
43,25578,Daniel Cross-Examining the El…,Engravings,1555,2015
44,133917,Madonna in Glory with the Sym…,Woodcuts,1505,2015
45,25639,Lot with His Daughters,Engravings,1555,2015
46,25611,Lot and His Family Fleeing fr…,Engravings,1555,2015
47,133916,St. Francis,Dotted,1500,2015
48,25640,The Creation of Eve,Engravings,1540,2015
49,25648,God Forbidding Adam and Eve t…,Engravings,1540,2015
50,28868,Hercules and the Centaurs,Engravings,1542,2016
51,28878,Hercules and the Nemean Lion,Engravings,1548,2016
52,28874,Hercules and the Hydra,Engravings,1545,2016
53,28875,Hercules and the Columns of G…,Engravings,1545,2016
54,28876,Hercules and Cacus,Engravings,1545,2016
55,28877,Hercules and Antaeus,Engravings,1545,2016
56,28872,Hercules and Cerberus,Engravings,1545,2016
57,28873,Hercules and the Trojans,Engravings,1545,2016
58,28869,Hercules and Nessus,Engravings,1542,2016
59,28871,Hercules and Iole,Engravings,1544,2016
60,28870,Lichas Bringing the Garment o…,Engravings,1545,2016
61,28879,The Death of Hercules,Engravings,1548,2016
62,133993,Christ's Entry into Jerusalem,Engravings,1500,2015
63,27391,St. Thomas,Woodcuts,1519,2016
64,27422,St. Thomas,Woodcuts,1519,2016
65,133963,St. Peter and St. Paul with t…,Engravings,1467,2015
66,27518,St. Arnolphus,Woodcuts,1510,2016
67,27524,St. Mauricius,Woodcuts,1510,2016
68,27589,St. Sigolina,Woodcuts,1510,2016
69,27494,St. Plectrudis,Woodcuts,1510,2016
70,133965,St. Christopher,Engravings,1500,2015
71,27603,The White King Informing His …,Woodcuts,1516,2016
72,30750,The Blue King Asking Support …,Woodcuts,1516,2016
73,30751,A Message from the White King…,Woodcuts,1516,2016
